nombre,tipo,lat,lon,rating,n_resenas,precio,direccion,query_origen
Sillpichs Megacenter,Restaurante de comida rápida,-16.531779399999998,-68.0876552,3.7,138,,"FW96+7WQ, MEGACENTER La Paz, Av. Rafael Pabón, La Paz",comida rápida La Paz Bolivia
La Casa Del Payaso,Restaurante de comida rápida,-16.5144743,-68.1278004,4.7,3,,"FVPC+6V8, Plaza España Sopocachi esq. Luis Uria, De La Oliva, La Paz",comida rápida La Paz Bolivia
Cozzolisi,Restaurante,-16.5433372,-68.0796197,4.4,119,,"Enrique Peñaranda, La Paz",comida rápida La Paz Bolivia
YATI Restaurant café bar,Restaurante,-16.49852,-68.1371576,4.6,727,Bs 40-80,"+591, La Paz",comida rápida La Paz Bolivia
Sillpichs,Restaurante de comida rápida,-16.545153,-68.0751736,3.8,587,Bs 40-60,"FW3F+WWP, Ave Jose Aguirre, La Paz",comida rápida La Paz Bolivia
Chifa Emy,Restaurante chino,-16.5133006,-68.1212238,4.0,225,Bs 40-100,"FVPH+PHC, Cordero 257, La Paz",comida rápida La Paz Bolivia
Isu Sushi,Restaurante de sushi,-16.5406962,-68.0778965,4.6,452,Bs 40-140,"Calle 21, La Paz",comida rápida La Paz Bolivia
Pollos REY,Restaurante especializado en pollo,-16.494862299999998,-68.1359165,3.8,252,Bs 20-40,"GV47+3J4, C. Comercio, La Paz",comida rápida La Paz Bolivia
Exquisita,Restaurante de comida rápida,-16.4794658,-68.120716,3.9,195,Bs 40-100,"Ave de las Americas, La Paz",comida rápida La Paz Bolivia
La Llave 2,Restaurante de comida rápida,-16.496723199999998,-68.1195077,3.7,329,Bs 20-100,"GV3J+859, La Paz",comida rápida La Paz Bolivia
Eli's Pizza,Restaurante de comida rápida,-16.5009808,-68.1329085,3.8,903,Bs 40-60,"Av. 16 de Julio No. 1497, La Paz",comida rápida La Paz Bolivia
ASAU,Restaurante,-16.533439899999998,-68.07230489999999,4.7,227,Bs 100-200,"C. Santiago Fajardo 123, La Paz",comida rápida La Paz Bolivia
Walisuma comida rápida,Restaurante,-16.4971997,-68.12447759999999,5.0,1,,"0, La Paz",comida rápida La Paz Bolivia
Los Castores Salteñería,Restaurante de comida rápida,-16.498080299999998,-68.122007,4.0,532,Bs 20-40,"1580, La Paz",comida rápida La Paz Bolivia
Papa Express,Restaurante,-16.4966094,-68.13698649999999,4.7,20,Bs 1-20,"Sagarnaga 161, La Paz",comida rápida La Paz Bolivia
Hamburguesas Toby,Hamburguesería,-16.5040926,-68.1308076,3.7,393,Bs 40-60,"Av. 16 de Julio 1853, La Paz",comida rápida La Paz Bolivia
Paceña La Salteña,Restaurante de cocina sudamericana,-16.4989176,-68.1332132,4.5,1043,Bs 20-40,"Loayza Nº 233, La Paz",salteñerías La Paz Bolivia
Los Castores Salteñería,Restaurante de comida rápida,-16.498080299999998,-68.122007,4.0,532,Bs 20-40,"1580, La Paz",salteñerías La Paz Bolivia
Salteñería El Hornito,Cafetería,-16.5095661,-68.1255278,4.1,61,Bs 1-20,"Av.6 de Agosto 2455, La Paz",salteñerías La Paz Bolivia
"Salteñería ""El Hornito""",Restaurante,-16.527536299999998,-68.10639189999999,4.4,75,Bs 1-20,"FVCV+XCQ, La Paz",salteñerías La Paz Bolivia
Paceña La Salteña,Restaurante,-16.4981871,-68.1184785,4.3,503,Bs 20-40,"Av. Brasil 1667, La Paz",salteñerías La Paz Bolivia
Salteñas Diablo,Pastelería,-16.497407199999998,-68.1241447,3.8,116,,La Paz,salteñerías La Paz Bolivia
Salteñas Hornito,Restaurante,-16.538811799999998,-68.078502,4.5,365,Bs 1-20,"FW6C+FHH, La Paz",salteñerías La Paz Bolivia
La Nacional Salteñas - Sur,Restaurante de comida rápida,-16.537199299999997,-68.0783204,4.4,127,Bs 20-40,"Gavino Villanueva 100A, La Paz",salteñerías La Paz Bolivia
Paceña La Salteña,Restaurante de cocina sudamericana,-16.5093548,-68.1274504,4.3,477,Bs 20-40,"Av.20 de Octubre 2332, La Paz",salteñerías La Paz Bolivia
Salteñas Chuquisaqueñas,Restaurante,-16.5029417,-68.12968169999999,3.9,59,Bs 1-20,"FVWC+R4G, Federico Zuazo, La Paz",salteñerías La Paz Bolivia
Paceña La Salteña,Restaurante de cocina sudamericana,-16.5395593,-68.0798811,4.4,1067,Bs 20-40,"C. 19 8024, La Paz",salteñerías La Paz Bolivia
Salteñas Diablo,Restaurante de comida rápida,-16.529165,-68.1027443,3.8,123,Bs 1-40,"FVCW+8WJ, Av Hernando Siles, La Paz",salteñerías La Paz Bolivia
Salteñeria Chuquisaqueña,Restaurante,-16.5386043,-68.08432429999999,4.0,3,,"Calle 15 15, La Paz",salteñerías La Paz Bolivia
Salteñeria Jomiman,Tienda de alimentación,-16.515993299999998,-68.1308961,4.8,9,,"Vincenti Nro 909, La Paz",salteñerías La Paz Bolivia
Salteñería Chuquisaqueña,Restaurante,-16.5100697,-68.12642079999999,4.1,8,Bs 1-20,"Av.20 de Octubre 927, La Paz",salteñerías La Paz Bolivia
Salteñas Diablo,Restaurante de comida rápida,-16.5053755,-68.1315697,,0,,"Edificio MALAGA Av 20 de Octubre y, Landaeta 11B, La Paz",salteñerías La Paz Bolivia
Mercado Camacho,Mercado,-16.5005789,-68.1312643,3.9,11443,,"FVX9+QF9, Av. Camacho, La Paz",mercado comida La Paz Bolivia
Mercado Miraflores,Mercado,-16.501445,-68.1217334,3.6,1233,,"FVXH+C8C, Diaz Romero, La Paz",mercado comida La Paz Bolivia
Mercado Rodríguez,Mercado,-16.5002761,-68.1385394,3.8,7020,,"FVX6+VC9, Rodriguez, La Paz",mercado comida La Paz Bolivia
Mercado Yungas,Mercado,-16.497148199999998,-68.1292332,3.6,2527,,"GV3C+48R, Yungas, La Paz",mercado comida La Paz Bolivia
Mercado Lanza,Mercado,-16.4950656,-68.13728329999999,3.5,920,,"GV37+X3G, San Francisco, Av Pérez Velasco, La Paz",mercado comida La Paz Bolivia
Mercado Nuestra Señora De La Paz,Mercado,-16.495377299999998,-68.10271949999999,3.6,269,,"GV3W+RWR, Av. Cdad. Del Niño, La Paz",mercado comida La Paz Bolivia
Mercado San Antonio,Mercado,-16.5270662,-68.105386,3.9,229,,"FVFV+5RH, Av. 14 de Septiembre, La Paz",mercado comida La Paz Bolivia
Mercado sopocachi,Mercado,-16.5093841,-68.1296231,3.8,128,,"Guachalla 556, La Paz",mercado comida La Paz Bolivia
Mercado Haití,Mercado,-16.4909616,-68.1225803,3.6,1095,,"GV5G+JX7, La Paz",mercado comida La Paz Bolivia
Mercado Strongest,Mercado,-16.5156208,-68.1399802,3.6,894,,"FVM6+Q22, La Paz",mercado comida La Paz Bolivia
Mercado Calatayud,Mercado,-16.4955286,-68.1476536,3.5,896,,"GV32+QWQ, Calatayud, La Paz",mercado comida La Paz Bolivia
Mercado Kollasuyo,Mercado,-16.4953151,-68.1166834,3.6,1917,,"GV3M+V8G, Tito Yupanqui, La Paz",mercado comida La Paz Bolivia
Mercado Villa Fátima La Paz,Mercado,-16.480544,-68.12122579999999,3.5,5380,,"GV9H+QGJ, La Paz",mercado comida La Paz Bolivia
Mercado Las Delicias,Mercado,-16.476999499999998,-68.1236274,3.4,274,,"GVFG+6G5, La Paz",mercado comida La Paz Bolivia
Mercado Los Pinos,Mercado,-16.541227199999998,-68.07255099999999,3.8,508,,"FW5G+GX4, Calle 25, La Paz",mercado comida La Paz Bolivia
La Huerta,Tienda de alimentos orgánicos,-16.5117992,-68.1272965,4.5,152,,"FVQF+73P, Pedro Salazar, La Paz",mercado comida La Paz Bolivia
Mercado Palenque,Tienda de alimentación,-16.5126079,-68.16280569999999,3.5,369,,"FRPP+XV4, Av. Rodolfo Palenque, La Paz",mercado comida La Paz Bolivia
Mercado Antofagasta,Mercado,-16.488091,-68.1402583,4.3,3,,"Ave Armentia 337, La Paz",mercado comida La Paz Bolivia
Mercado Bajo Mariscal Santa Cruz,Mercado,-16.492564899999998,-68.1583831,3.2,72,,"GR4R+XJH, La Paz",mercado comida La Paz Bolivia
Mercado Corazón De Jesús,Mercado,-16.5238027,-68.1041314,3.8,223,,"Calle Etelvina Villanueva 428, La Paz",mercado comida La Paz Bolivia
Mercado Calama,Mercado,-16.4899081,-68.13713899999999,3.5,48,,"GV67+24Q, La Paz",mercado comida La Paz Bolivia
La Huerta - Mercado Saludable,Tienda de alimentación,-16.5423236,-68.08031869999999,4.6,22,,"Claudio Aliaga &, Gabriel René Moreno, La Paz",mercado comida La Paz Bolivia
Mercado Maracaná,Mercado,-16.4856941,-68.1371272,3.5,129,,"GV77+P4H, La Paz",mercado comida La Paz Bolivia
Mercado San José De Munaypata,Supermercado,-16.489163299999998,-68.1586064,3.3,96,,"GR6R+8HJ, La Paz",mercado comida La Paz Bolivia
Mercado Achumani,Mercado,-16.5308442,-68.0733913,3.8,3366,,"FW9G+MJ9, C. 16, La Paz",mercado comida La Paz Bolivia
Mercado Modelo Teofilo Miranda,Mercado,-16.497114,-68.11623,3.6,33,,"GV3M+5G2, 4, La Paz",mercado comida La Paz Bolivia
Alto San Antonio,Mercado,-16.497270699999998,-68.1090985,3.7,525,,"GV3R+39R, La Paz",mercado comida La Paz Bolivia
Mercado Modelo De Irpavi,Mercado,-16.5246204,-68.0872827,3.9,1418,,"FWG7+42W, Mercado Modelo Irpavi, C. 6, La Paz",mercado comida La Paz Bolivia
Mercado de las Brujas,Mercado,-16.4961539,-68.1389263,4.1,9770,,"Melchor Jimenez 872, La Paz",mercado comida La Paz Bolivia
Mercado Vicente Ochoa,Mercado,-16.498015499999998,-68.1443245,3.6,27,,"Av. Buenos Aires 787-773, La Paz",mercado comida La Paz Bolivia
Mercado Obrajes,Mercado,-16.5298676,-68.10239969999999,3.4,1159,,"FVCX+325, La Paz",mercado comida La Paz Bolivia
Mercado Bolívar,Mercado,-16.5138441,-68.1412118,3.4,520,,"FVP5+FG7, La Paz",mercado comida La Paz Bolivia
Café del Mundo,Restaurante,-16.4974839,-68.13865609999999,4.3,2178,Bs 40-60,"Sagarnaga 324, La Paz",mercado comida La Paz Bolivia
Mercado 10 de enero,Mercado,-16.5015856,-68.10443529999999,3.7,885,,"Calle E 99, La Paz",mercado comida La Paz Bolivia
Supermercado Chinbol,Tienda de alimentación,-16.5051174,-68.128771,3.6,233,,"Goitia 142, La Paz",mercado comida La Paz Bolivia
Supermercado Fidalga - Comercio,Supermercado,-16.4966923,-68.132549,3.8,540,,"GV38+8XG, C. Colon, La Paz",mercado comida La Paz Bolivia
"Mercado Popular ""Raul Salmón""",Mercado,-16.5282329,-68.123679,3.7,141,,"FVCG+PG4, La Paz",mercado comida La Paz Bolivia
Mercado Uruguay,Mercado,-16.4973997,-68.1437004,3.3,47,,"GV34+2GV, Eloy Salmon, La Paz",mercado comida La Paz Bolivia
Hipermaxi Sopocachi,Supermercado,-16.5095165,-68.1278844,3.9,3141,,"FVRC+4RX, Rosendo Gutierrez 469, La Paz",mercado comida La Paz Bolivia
Mercado Las Rieles El Alto,Mercado de productos del campo,-16.5084092,-68.156723,3.5,290,,"FRRV+J8J, C. 5 Villa Dolores, La Paz",mercado comida La Paz Bolivia
Mercado El Carmen,Mercado,-16.5146443,-68.1263568,3.8,5,,"Presbítero Medina Nro. 2758, La Paz",mercado comida La Paz Bolivia
Mercado Villa Dolores,Tienda de alimentación,-16.5123835,-68.1589906,3.3,97,,"FRQR+2CR, El Alto",mercado comida La Paz Bolivia
Mercado Bajo San Isidro,Mercado,-16.511429,-68.1083726,3.2,154,,"FVQR+CMC, Av. Donoso Torrez, La Paz",mercado comida La Paz Bolivia
Mercado Los Andes,Mercadillo,-16.4987083,-68.1482647,3.4,55,,"GV22+GM9, Cossio, La Paz",mercado comida La Paz Bolivia
Cinco Market,Mercado,-16.5381066,-68.0787182,5.0,3,,"Calle 20 de Calacoto Esquina, La Paz",mercado comida La Paz Bolivia
Mercado Félix Hinojosa,Mercado,-16.5033822,-68.1445011,3.2,1690,,"FVW4+J5X, Av. Buenos Aires, La Paz",mercado comida La Paz Bolivia
Mercado Km 7,Mercado,-16.522956,-68.1434821,3.5,203,,"FVG4+RJ6, La Paz",mercado comida La Paz Bolivia
super mercado Roxana,Supermercado,-16.491746499999998,-68.1508231,4.1,12,,"GR5X+8M3, La Paz",mercado comida La Paz Bolivia
Mercado San Cristóbal,Mercado,-16.5103629,-68.14568249999999,3.5,46,,"FVQ3+VP4, Av. Tacagua, La Paz",mercado comida La Paz Bolivia
MERCADON,Tienda de alimentación,-16.500512,-68.1237652,4.7,9,,"IBITA, Avenida Saavedra 1760, La Paz",mercado comida La Paz Bolivia
Mercado Virgen de las Nieves,Mercado,-16.4754362,-68.14970439999999,3.5,173,,"GVF2+R4F, Av. Ramos Gavilan, La Paz",mercado comida La Paz Bolivia
Mercado Santiago,Tienda de alimentación,-16.490092399999998,-68.1560271,3.6,46,,"Vicente Peñaloza 1827, La Paz",mercado comida La Paz Bolivia
Mercado el Vergel,Mercado,-16.534226,-68.140479,3.7,45,,"Av. Mario Mercado 228, La Paz",mercado comida La Paz Bolivia
Supermercado Chinbol,Supermercado chino,-16.5372678,-68.0757982,3.8,320,,"Edificio OPHIR, Gavino Villanueva 14, La Paz",mercado comida La Paz Bolivia
Mercado Campesino Zenobio López,Tienda de alimentación,-16.5067851,-68.1154205,4.1,20,,"FVVM+7RP, La Paz",mercado comida La Paz Bolivia
Comedor Mercado Uruguay,Restaurante,-16.496893,-68.1434821,3.6,91,Bs 20-40,"GV34+6JR, La Paz",mercado comida La Paz Bolivia
Fidalga,Supermercado,-16.510462099999998,-68.12792879999999,3.8,1462,,"Sanchez Lima 2362, La Paz",mercado comida La Paz Bolivia
Salchirich,Barbería,-16.500635799999998,-68.1315741,3.9,1334,,"Centro Comercial Camacho, Av. Camacho esquina, La Paz",mercado comida La Paz Bolivia
Mercado Popular Pura Pura,Tienda de alimentación,-16.4877494,-68.1508047,4.1,36,,"GR6X+WM4, Jorge Cordova, La Paz",mercado comida La Paz Bolivia
Mercado 4 De Abril,Tienda de alimentación,-16.5222309,-68.14580049999999,3.6,5,,"FVH3+4M4, La Paz",mercado comida La Paz Bolivia
Pizza Nostra,Pizzería,-16.5082242,-68.12588749999999,4.4,975,Bs 20-40,"Entre calle, Avenida Arce N°2342, Rosendo Gutierrez y, La Paz",pizzería La Paz Bolivia
Fellini Pizza y Gelato,Restaurante italiano,-16.5425921,-68.0791062,4.5,1674,Bs 80-180,"Calle Rene, Gabriel René Moreno 1383, La Paz",pizzería La Paz Bolivia
Mozzarella Pizza,Pizzería,-16.4958633,-68.1397987,4.3,790,Bs 40-60,"Av. Illampu 757, La Paz",pizzería La Paz Bolivia
Mozzarella Pizza,Pizzería,-16.50951,-68.1237551,4.1,33,,"Las Torres Mall, Av. Arce, La Paz",pizzería La Paz Bolivia
Tutto Pasta,Restaurante italiano,-16.5435673,-68.0799026,4.1,162,Bs 60-160,"Gabriel René Moreno 1050, La Paz",pizzería La Paz Bolivia
Pizzería Bella Ciao,Pizzería,-16.4969619,-68.138959,4.9,659,Bs 60-80,"Melchor Jimenez 872, La Paz",pizzería La Paz Bolivia
La Torre de Pizza,Pizzería,-16.5122207,-68.1292158,4.6,145,Bs 60-80,"Belisario Salinas 348, La Paz",pizzería La Paz Bolivia
Martinni Pizza - Pasta,Restaurante,-16.4959073,-68.1400255,4.1,189,Bs 40-60,"Av. Illampu 734, La Paz",pizzería La Paz Bolivia
Cozzolisi,Restaurante,-16.5433372,-68.0796197,4.4,119,,"Enrique Peñaranda, La Paz",pizzería La Paz Bolivia
PIZZA DE ALTURA,Pizzería,-16.5383057,-68.0873297,5.0,13,Bs 20-60,"FW67+P37, Av. de la Fuerza Naval, La Paz",pizzería La Paz Bolivia
Pizzería italy in Bolivia,Pizzería,-16.4967595,-68.1395385,4.3,124,Bs 40-60,"Av. Illampu, La Paz",pizzería La Paz Bolivia
Circus Pizzeria,Pizzería,-16.544988099999998,-68.0790344,4.5,96,Bs 20-100,"Jose Maria Zalles, La Paz",pizzería La Paz Bolivia
Mr. Pizza,Pizzería,-16.498828,-68.1209525,4.1,990,Bs 40-120,"Río Esmeralda, Av. Busch 1667, La Paz",pizzería La Paz Bolivia
DT Brew House,Bar restaurante,-16.4984823,-68.1369476,4.4,565,Bs 40-120,"Murillo 1014, La Paz",pizzería La Paz Bolivia
Pizza Steve,Restaurante,-16.5086876,-68.12715,4.1,77,Bs 40-100,"Rosendo Gutierrez, La Paz",pizzería La Paz Bolivia
The Carrot Tree Centro,Restaurante,-16.496185,-68.13886939999999,4.3,1541,Bs 40-60,"Inside galeria sumaya, Linares 809 esquina, La Paz",pizzería La Paz Bolivia
Efímera,Pizzería,-16.513424099999998,-68.12463149999999,4.6,496,Bs 60-80,La Paz,pizzería La Paz Bolivia
Pizza Río San Miguel,Pizzería,-16.5426562,-68.080545,4.1,288,Bs 20-80,"Calle Claudio Aliaga, Av. Montenegro y, La Paz",pizzería La Paz Bolivia
La Pizza Nostra,Pizzería,-16.525544,-68.1089866,4.4,634,Bs 20-40,"Av Hernando Siles 5956, La Paz",pizzería La Paz Bolivia
Mr. Pizza,Pizzería,-16.5101504,-68.1263069,3.9,193,Bs 40-60,"FVQF+WFP, Av.20 de Octubre, La Paz",pizzería La Paz Bolivia
Restaurante Vegetariano Armonia,Restaurante vegetariano,-16.510229799999998,-68.12946939999999,4.7,111,Bs 20-40,"Ecuador 2286, esquina, La Paz",pizzería La Paz Bolivia
Popular Cocina Boliviana,Restaurante,-16.496019699999998,-68.1382794,4.6,1470,Bs 80-100,"Murillo 826, La Paz",pizzería La Paz Bolivia
The Lucky Llama Irish Bar,Pub irlandés,-16.4962916,-68.13881909999999,4.5,326,Bs 40-80,"casi equina, galeria sumaya, Linares 809, La Paz",pizzería La Paz Bolivia
Pizza Río Miraflores,Pizzería,-16.4975412,-68.120958,4.1,191,Bs 20-60,La Paz,pizzería La Paz Bolivia
MEGA PIZZA JUANKY - CEJA EL ALTO,Restaurante,-16.506364899999998,-68.1628952,4.6,21,Bs 20-40,"Dos, La Paz",pizzería La Paz Bolivia
Demente,Pizzería,-16.504045899999998,-68.13195089999999,4.8,150,Bs 40-60,"Cañada Strongest 1862, La Paz",pizzería La Paz Bolivia
PIZZA LA ROMA SOPOCACHI,Pizzería,-16.513070499999998,-68.1263767,4.9,29,Bs 60-80,"C.mario pinilla, La Paz",pizzería La Paz Bolivia
Muela del Diablo Bar,Pizzería,-16.5450487,-68.07915229999999,4.4,960,Bs 60-160,"Jose Maria Zalles, La Paz",pizzería La Paz Bolivia
Pomodoro Rosso Calle 10 de Calacoto,Pizzería,-16.5410804,-68.0892901,4.4,94,Bs 40-60,"FW56+H78, C. 10, La Paz",pizzería La Paz Bolivia
Carbón & Sal,Restaurante argentino,-16.5347784,-68.0724923,4.4,189,Bs 60-140,"Achumani, Av. Alexander Esq, C. 13 70, La Paz",pizzería La Paz Bolivia
Da Gloria Pasta,Restaurante italiano,-16.5437382,-68.0800552,4.8,25,Bs 80-100,"Gabriel René Moreno 1043, La Paz",pizzería La Paz Bolivia
METRO PIZZA,Pizzería,-16.4950237,-68.12368099999999,5.0,2,,La Paz,pizzería La Paz Bolivia
Pizza Nostra,Restaurante italiano,-16.5425696,-68.08036419999999,4.6,329,Bs 20-60,"Calle Claudio Aliaga, Bloque J, #46, Gabriel René Moreno Esquina, La Paz",pizzería La Paz Bolivia
Pizza Steve - Achumani,Pizzería,-16.528577,-68.07127,4.5,4,Bs 40-140,"FWCH+HF9, C. 22, La Paz",pizzería La Paz Bolivia
The English Pub,Bar restaurante,-16.4987276,-68.13756579999999,4.3,848,Bs 40-140,"GV26+GX3, Linares, La Paz",pizzería La Paz Bolivia
Cafe Vida Vegan & Healthy Restaurant La Paz,Restaurante vegano,-16.4987778,-68.1374321,4.8,360,Bs 20-40,"el que baja al Teleférico Morado, Pasaje Juan XXIII, detrás de la calle Tarija.187, a la vuelta del English Pub, Juan XXIII, La Paz",pizzería La Paz Bolivia
Kisu,Pizzería,-16.5438613,-68.0808876,4.6,15,Bs 60-80,"0000, La Paz",pizzería La Paz Bolivia
Don Carleone,Restaurante italiano,-16.4977432,-68.12095959999999,4.2,390,Bs 20-40,"GV2H+WJ3, La Paz",pizzería La Paz Bolivia
Bolivian Green Kitchen,Restaurante de cocina sudamericana,-16.4975243,-68.13866349999999,4.4,540,Bs 20-100,"Hotel Sagarnaga, C. Sagarnaga 326, La Paz",pizzería La Paz Bolivia
Lobos Pizzería,Pizzería,-16.4885177,-68.140098,4.4,246,Bs 40-60,"Av. Perú, La Paz",pizzería La Paz Bolivia
Il Falco,Restaurante italiano,-16.508532199999998,-68.1290729,4.3,797,Bs 60-80,"Guachalla 452, La Paz",pizzería La Paz Bolivia
Pizza Time,Pizzería,-16.496954499999998,-68.1279287,4.7,33,Bs 20-40,"Ave Tejada Sorzano Entre sucre, La Paz",pizzería La Paz Bolivia
La Choperia Antique - Pub,Pizzería,-16.4975853,-68.1382874,4.5,54,Bs 40-100,"Museo de la Coca, Linares 906, La Paz",pizzería La Paz Bolivia
MEGA PIZZA JUANKY - CEJA EL ALTO,Restaurante,-16.506364899999998,-68.1628952,4.6,21,Bs 20-40,"Dos, La Paz",pizzería La Paz Bolivia
METRO PIZZA,Pizzería,-16.4950237,-68.12368099999999,5.0,2,,La Paz,pizzería La Paz Bolivia
Chessy pizza,Pizzería,-16.5268861,-68.0880973,4.8,19,,"Av. Ovando Candia 450, La Paz",pizzería La Paz Bolivia
Kisu,Pizzería,-16.5438613,-68.0808876,4.6,15,Bs 60-80,"0000, La Paz",pizzería La Paz Bolivia
Carbón & Sal,Restaurante argentino,-16.5347784,-68.0724923,4.4,189,Bs 60-140,"Achumani, Av. Alexander Esq, C. 13 70, La Paz",pizzería La Paz Bolivia
Pizzería Torino,Restaurante italiano,-16.4963175,-68.1344782,3.9,242,Bs 20-40,"GV38+F6C, La Paz",pizzería La Paz Bolivia
GALAXY PIZZA,Pizzería,-16.5048843,-68.1209619,4.1,123,Bs 20-40,"Avenida Saavedra 2118, La Paz",pizzería La Paz Bolivia
Eli's Pizza,Pizzería,-16.5009808,-68.1329085,3.8,903,Bs 40-60,"Av. 16 de Julio No. 1497, La Paz",pizzería La Paz Bolivia
The English Pub,Bar restaurante,-16.4987276,-68.13756579999999,4.3,848,Bs 40-140,"GV26+GX3, Linares, La Paz",pizzería La Paz Bolivia
El Bosque Boulevard,Zona de restauración,-16.5408413,-68.08386519999999,4.6,1709,Bs 40-140,"Calle 15, Av. Sanchez Bustamante y, La Paz",pizzería La Paz Bolivia
